,URL,HTTP_status,nb_triples,has_conforms_to,info
0,https://fairsharing.org/,200.0,52.0,False,
1,https://mobidb.org/P04637,200.0,66.0,True,
2,https://www.france-bioinformatique.fr/en/evenements_upcoming,404.0,1.0,False,
3,https://synbiohub.org/,200.0,2.0,False,
4,https://www.gbif.org/dataset/c0cc29de-f49f-4b66-b4ec-c83afbb7101d,200.0,154.0,True,
5,https://bgee.org/?page=gene&gene_id=ENSG00000274928,301.0,21.0,True,
6,http://,,,,Invalid url: http://
7,https://synbiohub.org/public/igem/BBa_K165005/1,200.0,2.0,False,
8,https://www.genenames.org/data/gene-symbol-report/#data-set,200.0,37.0,True,
9,https://hamap.expasy.org/cgi-bin/unirule/unirule_browse.cgi,200.0,30.0,False,
10,https://www.ensembl.org/id/ENSG00000139618,302.0,0.0,False,
11,https://datacatalog.elixir-luxembourg.org/e/dataset/924dfe7a-71e8-11eb-bafe-3e22fbb3883f,200.0,0.0,False,
12,https://www.ebi.ac.uk/chembl/,200.0,264.0,False,
13,https://datacatalog.elixir-luxembourg.org/,200.0,0.0,False,
14,https://tess.elixir-europe.org/events/introduction-to-r-for-biologists-online,200.0,66.0,True,
15,https://www.ebi.ac.uk/interpro/,200.0,214.0,False,
16,https://aip.fipapatients.org/,200.0,0.0,False,
17,https://datamed.org/display-item.php?repository=0006&id=59139ef65152c62a9fc18ff7,404.0,0.0,False,
18,https://zbmed-semtec.github.io/dome-galaxy-training/docs/DOME.html,200.0,82.0,True,
19,https://proteinensemble.org/PED00014,200.0,0.0,False,
20,https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/courses/q-exactive.aspx,301.0,32.0,False,
21,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=8299,200.0,12.0,True,
22,https://deb-central.org/,405.0,0.0,False,
23,https://scholia.toolforge.org/gene/Q18030793,200.0,8.0,True,
24,https://h2020-riskgone.github.io/riskgone-materials/identifiers_and_guidance.html,200.0,14.0,True,
25,https://disprot.org/DP00086r026,200.0,61.0,True,
26,https://pairedomicsdata.bioinformatics.nl/projects/d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,200.0,40.0,True,
27,https://prosite.expasy.org,200.0,30.0,False,
28,https://flymine.org/,301.0,0.0,False,
29,https://search.data.enanomapper.net/about/enanomapper/,308.0,8.0,False,
30,https://www.ebi.ac.uk/pdbe/entry/pdb/5hbi/protein/1,200.0,36.0,True,
31,https://nanocommons.github.io/datasets/,200.0,70.0,True,
32,https://hpscreg.eu/cell-line/BIHi006-D,200.0,62.0,True,
33,http://edgar.biocomp.unibo.it/,302.0,43.0,True,
34,https://www.omicsdi.org/#/dataset/arrayexpress-repository/E-MTAB-6848,200.0,38.0,False,
35,https://pharos.nih.gov/ligands/tamatinib,200.0,45.0,True,
36,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL59/,200.0,91.0,False,
37,https://www.metanetx.org/,200.0,49.0,True,
38,https://humanmine.org/,200.0,381.0,False,
39,https://zbmed.github.io/damalos/docs/2020.html,200.0,8.0,True,
40,http://159.149.160.88/pscan/,200.0,0.0,False,
41,https://hamap.expasy.org/archaea.html,200.0,28.0,False,
42,https://pcddb.cryst.bbk.ac.uk/,200.0,68.0,False,
43,http://www.cathdb.info,200.0,80.0,False,
44,https://scholia.toolforge.org/chemical/Q18216,200.0,10.0,True,
45,https://bioschemas.org/tutorials/what_why_bioschemas,200.0,43.0,True,
46,https://reactome.org/content/detail/R-HSA-449147,200.0,108.0,False,
47,https://swissmodel.expasy.org/,200.0,93.0,False,
48,https://pairedomicsdata.bioinformatics.nl/,200.0,28.0,True,
49,https://bgee.org/,301.0,157.0,True,
50,https://www.covid19dataportal.org/,200.0,77.0,False,
51,https://www.sib.swiss/training/course/20221123_OPEMP,200.0,370.0,True,
52,http://phenpath.biocomp.unibo.it/phenpath/,200.0,48.0,True,
53,https://enanomapper.github.io/tutorials/Entering_and_analysing_nano_safety_data/readme.html,200.0,49.0,True,
54,https://zbmed-semtec.github.io/BioMedSem-IR-KD/docs/Lesson1.html,200.0,76.0,True,
55,https://scholia.toolforge.org/taxon/Q15978631,200.0,7.0,True,
56,https://massbank.eu/MassBank/RecordDisplay?id=MSBNK-RIKEN_IMS-LQB00001,200.0,20.0,True,
57,https://inpn.mnhn.fr/espece/cd_nom/60878/,200.0,444.0,True,
58,https://ega-archive.org/studies/EGAS00000000001,200.0,3.0,False,
59,https://www.uniprot.org/uniprot/,200.0,9.0,False,
60,https://pcddb.cryst.bbk.ac.uk/deposit/CD0000031000,200.0,45.0,False,
61,https://bridgedb.github.io/,301.0,12.0,True,
62,http://dx.doi.org/10.5447/ipk/2022/5,301.0,0.0,False,
63,https://mint.bio.uniroma2.it/,200.0,88.0,False,
64,https://www.proteinatlas.org/,200.0,347.0,False,
65,https://bar.biocomp.unibo.it/bar3/,200.0,86.0,False,
66,https://www.guidetopharmacology.org/coronavirus.jsp,302.0,7.0,True,
67,https://www.guidetopharmacology.org/,200.0,61.0,False,
68,http://mvid-central.org/,302.0,0.0,False,
69,https://disprot.org/DP00086,200.0,827.0,True,
70,https://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=141189&lng=en,200.0,33.0,False,
71,https://www.ebi.ac.uk/biosamples/samples/SAMEA491372,200.0,0.0,False,
72,https://rdmkit.elixir-europe.org/human_data.html,200.0,129.0,False,
73,https://bioregistry.io/registry/hgnc,200.0,25.0,True,
74,https://swissmodel.expasy.org/repository,200.0,417.0,False,
75,http://159.149.160.88/pscan_chip_dev/,200.0,0.0,False,
76,https://www.metanetx.org/ftp/,200.0,0.0,False,
77,http://edgar.biocomp.unibo.it/cgi-bin/gene_disease_db/gene.py?gene=A2M,200.0,260.0,True,
78,https://scholia.toolforge.org/protein/Q424728,200.0,7.0,True,
79,https://cells.ebisc.org/BIHi006-D,301.0,58.0,True,
80,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37133,200.0,37.0,True,
81,https://biopragmatics.github.io/bioversions/,200.0,15.0,True,
82,http://gigadb.org/site/index,200.0,14.0,False,
83,https://proteinensemble.org/,200.0,74.0,True,
84,https://www.alliancegenome.org/gene/RGD:620474,200.0,8.0,False,
85,https://psnpbind.org/protein/1owh,200.0,10.0,True,
86,https://www.ebi.ac.uk/interpro/entry/InterPro/IPR015252/,200.0,78.0,False,
87,https://www.gbif.org/species/5220113,200.0,207.0,True,
88,https://string-db.org/network/9606.ENSP00000379258,200.0,84.0,True,
89,http://159.149.160.88/cscan,301.0,0.0,False,
90,https://mobidb.org/,200.0,77.0,True,
91,https://www.ebi.ac.uk/training/events/metagenomics-bioinformatics-2022/,200.0,81.0,False,
92,https://bridgedb.github.io/data/gene_database/,301.0,18.0,True,
93,https://workflowhub.eu/people/9,200.0,34.0,True,
94,https://string-db.org/,200.0,367.0,True,
95,https://corkoakdb.org/gene/13014,200.0,15.0,True,
96,https://pharos.nih.gov/targets/CAMK2A,200.0,22.0,False,
97,https://www.ebi.ac.uk/Tools/hmmer/search/phmmer,200.0,19.0,False,
98,https://ega-archive.org/,200.0,3.0,False,
99,http://phenpath.biocomp.unibo.it/cgi-bin/phenpath/ppDB.py,200.0,43.0,True,
100,https://ippidb.pasteur.fr/compounds/1103#compound,500.0,0.0,False,
101,https://tess.elixir-europe.org/materials/hands-on-for-exome-sequencing-data-analysis-for-diagnosing-a-genetic-disease-tutorial,200.0,74.0,True,
102,https://ippidb.pasteur.fr/,500.0,0.0,False,
103,https://workflowhub.eu/,200.0,45.0,True,
104,https://bio.tools/blast,,,,Time out when accessing url: https://bio.tools/blast
105,https://wikipathways.org/,301.0,0.0,False,
106,https://www.genenames.org/#data-catalog,200.0,37.0,True,
107,https://enzyme.expasy.org/EC/1.1.3.-,200.0,28.0,False,
108,https://www.metanetx.org/chem_info/MNXM680,200.0,71.0,True,
109,https://metabolicatlas.org/explore/Human-GEM/gem-browser/gene/ENSG00000078237,200.0,23.0,True,
110,https://disprot.org/,200.0,64.0,True,
111,https://www.opalesurfcasting.net/connaissances/faune-et-flore/le-saumon-de-l-atlantique-salmo-salar.html,403.0,42.0,False,
112,http://itsonedb.cloud.ba.infn.it/,301.0,0.0,False,
113,https://nanocommons.github.io/tutorials/enteringData,301.0,56.0,True,
114,https://workflowhub.eu/workflows/18,200.0,65.0,True,
115,https://metabolicatlas.org/explore/Human-GEM/gem-browser/metabolite/MAM00217c,200.0,24.0,True,
116,https://www.alliancegenome.org/gene/MGI:2442292,200.0,8.0,False,
117,https://ega-archive.org/datasets/EGAD00000000001,200.0,53.0,False,
118,https://tess.elixir-europe.org/events/1st-international-conference-on-fair-digital-objects-fdo2022,200.0,57.0,True,
119,https://bioinformatics.ca/workshops-all/2021-infectious-disease-epidemiology-analysis/,200.0,110.0,False,
120,https://www.sib.swiss/training/course/20230426_DOCK,200.0,119.0,True,
121,https://bioschemas.org/meetings/2022-01_SWAT4HCLS_leiden,200.0,54.0,True,
122,https://zbmed.github.io/damalos/,200.0,75.0,False,
123,https://bmrb.io/data_library/summary/index.php?bmrbId=30309,200.0,65.0,False,
124,https://training.galaxyproject.org/training-material/hall-of-fame/hexylena/,200.0,29.0,True,
125,https://www.ensembl.org/,301.0,46.0,True,
126,https://bgee.org/?page=species&amp;species_id=9606#expr-calls,301.0,158.0,True,
127,https://bigcat-um.github.io/BiGCaT-Teaching/,200.0,7.0,True,
128,https://training.galaxyproject.org/training-material/topics/introduction/tutorials/galaxy-intro-101-everyone/tutorial.html,200.0,340.0,True,
129,https://nanocommons.github.io/specifications/jrc/,200.0,7.0,True,
130,http://www.ebi.ac.uk/pdbe/entry/pdb/4a7l,301.0,1.0,False,
131,https://cancer.sanger.ac.uk/cosmic/,200.0,18.0,False,
132,https://bio.tools/covidmine,,,,Time out when accessing url: https://bio.tools/covidmine
133,https://identifiers.org/,200.0,27.0,False,
134,https://www.chd7.org/,405.0,98.0,False,
135,https://modelarchive.org/,200.0,34.0,False,
136,https://pathvisio.org/,200.0,12.0,True,
137,https://www.ebi.ac.uk/biosamples/,200.0,19.0,False,
138,https://www.elixir-europe.org/events/biohackathon-2018-paris,301.0,38.0,False,
139,https://pippa.psb.ugent.be/pippa_experiments/consult_experiment_basic_info/55,200.0,9676.0,False,
